trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.001, 'e': 0.9995473777767595}",25,13,-55.26200663329209,"{0: 6, 1: 5, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.001, 'e': 0.9995320432743672}",25,0,-178.5646428775492,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
71,False,"{'a': 0.001, 'e': 0.9995161895019664}",20,0,-83.54479975241674,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.001, 'e': 0.9994997988929205}",30,4,-87.36700057135668,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 1}",1
73,False,"{'a': 0.001, 'e': 0.9994828532875147}",20,9,-49.22543028863116,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
74,False,"{'a': 0.001, 'e': 0.9994653339130182}",25,0,-57.47079669373494,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
75,False,"{'a': 0.001, 'e': 0.9994472213630764}",20,5,-52.09000569585357,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 0}",1
76,False,"{'a': 0.001, 'e': 0.9994284955764196}",20,0,-125.3383801649832,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
77,False,"{'a': 0.001, 'e': 0.9994091358148616}",20,0,-66.66194633432693,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.001, 'e': 0.9993891206405656}",30,0,-80.30048173215954,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
79,False,"{'a': 0.001, 'e': 0.9993684278925562}",20,0,-80.94844497651796,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
80,False,"{'a': 0.001, 'e': 0.9993470346624472}",20,0,-183.35526977120543,"{0: 7, 1: 5, 2: 5, 3: 0, 4: 3}",0
81,False,"{'a': 0.001, 'e': 0.9993249172693672}",20,0,-96.99397009236746,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
82,False,"{'a': 0.001, 'e': 0.9993020512340489}",20,0,-89.10396687912065,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.001, 'e': 0.9992784112520634}",30,0,-173.90251341119625,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
