trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.001, 'e': 0.9929664128450049}",35,0,-132.08255353701855,"{0: 21, 1: 2, 2: 10, 3: 2, 4: 0}",0
43,False,"{'a': 0.001, 'e': 0.992789640586981}",25,0,-163.15118478039946,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
44,False,"{'a': 0.001, 'e': 0.9926084586557181}",25,0,-144.83176772971606,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
45,False,"{'a': 0.001, 'e': 0.9924227587321393}",30,0,-64.83841768046541,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
46,False,"{'a': 0.001, 'e': 0.9922324299219849}",20,0,-130.41978557376544,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.001, 'e': 0.9920373586989583}",20,0,-119.03988880147004,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
48,False,"{'a': 0.001, 'e': 0.9918374288468401}",25,0,-126.34726535838286,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
49,False,"{'a': 0.001, 'e': 0.9916325214005703}",25,6,-38.49852091707313,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.001, 'e': 0.991422514586288}",35,0,-141.6688797335843,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 1}",0
51,False,"{'a': 0.001, 'e': 0.9912072837603251}",20,0,-151.45058335313584,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
52,False,"{'a': 0.001, 'e': 0.990986701347152}",25,10,-103.711065580418,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1
53,False,"{'a': 0.001, 'e': 0.9907606367762712}",20,0,-111.91090081306352,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.001, 'e': 0.9905289564180538}",30,0,-101.19536115149694,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
55,False,"{'a': 0.001, 'e': 0.9902915235185259}",25,0,-64.90547270513467,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.001, 'e': 0.9900481981330957}",20,7,-4.57337873139254,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.001, 'e': 0.9897988370592303}",20,0,-70.73776075777954,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.001, 'e': 0.9895432937680818}",25,0,-116.9976917003513,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.001, 'e': 0.9892814183350669}",30,0,-129.84707168670633,"{0: 16, 1: 5, 2: 6, 3: 3, 4: 0}",0
60,False,"{'a': 0.001, 'e': 0.9890130573694068}",20,5,-28.207984135184514,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
61,False,"{'a': 0.001, 'e': 0.9887380539426343}",20,0,-115.67006004239872,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
62,False,"{'a': 0.001, 'e': 0.9884562475160777}",20,0,-123.40338584354171,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
63,False,"{'a': 0.001, 'e': 0.9881674738673312}",20,0,-36.71725940972033,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.001, 'e': 0.9878715650157257}",35,0,-304.6221502688091,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 7}",0
65,False,"{'a': 0.001, 'e': 0.9875683491468141}",20,0,-171.64288544431074,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
66,False,"{'a': 0.001, 'e': 0.9872576505358884}",25,0,-55.252954734599676,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
67,False,"{'a': 0.001, 'e': 0.9869392894705469}",30,0,-166.69440625547344,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
68,False,"{'a': 0.001, 'e': 0.9866130821723351}",20,0,-97.08729884417487,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
69,False,"{'a': 0.001, 'e': 0.9862788407174811}",25,0,-155.75596585529834,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
70,False,"{'a': 0.001, 'e': 0.9859363729567544}",30,4,-57.22329155022496,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 1}",1
71,False,"{'a': 0.001, 'e': 0.985585482434479}",30,0,-133.82245237791912,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
72,False,"{'a': 0.001, 'e': 0.9852259683067269}",25,0,-146.33643588750274,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
73,False,"{'a': 0.001, 'e': 0.9848576252587378}",35,0,-134.69922861989522,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
74,False,"{'a': 0.001, 'e': 0.9844802434215911}",20,0,-143.80178795403302,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
75,False,"{'a': 0.001, 'e': 0.9840936082881853}",20,0,-141.71591169573063,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
76,False,"{'a': 0.001, 'e': 0.9836975006285591}",35,0,-122.02459962886161,"{0: 19, 1: 3, 2: 13, 3: 0, 4: 0}",0
77,False,"{'a': 0.001, 'e': 0.9832916964046118}",25,0,-65.31570661477181,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
78,False,"{'a': 0.001, 'e': 0.9828759666842724}",20,0,-145.6928836656832,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
79,False,"{'a': 0.001, 'e': 0.9824500775551757}",20,0,-43.34152717062091,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
80,False,"{'a': 0.001, 'e': 0.9820137900379085}",20,0,-99.92439448444578,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
81,False,"{'a': 0.001, 'e': 0.9815668599988902}",20,0,-53.240863303923724,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
82,False,"{'a': 0.001, 'e': 0.9811090380629609}",20,0,-95.49857340025841,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
83,False,"{'a': 0.001, 'e': 0.9806400695257524}",25,0,-220.1914559857856,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
84,False,"{'a': 0.001, 'e': 0.9801596942659225}",20,0,-96.82273554219282,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
85,False,"{'a': 0.001, 'e': 0.9796676466573412}",20,0,-171.15879955285672,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
86,False,"{'a': 0.001, 'e': 0.9791636554813196}",20,0,-50.99139724639576,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
87,False,"{'a': 0.001, 'e': 0.9786474438389795}",25,0,-165.84952722818724,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
88,False,"{'a': 0.001, 'e': 0.9781187290638694}",20,0,-79.32098480890694,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
89,False,"{'a': 0.001, 'e': 0.9775772226349374}",20,0,-89.12244510382102,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
90,False,"{'a': 0.001, 'e': 0.9770226300899744}",25,4,-81.9583868267824,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 1}",1
91,False,"{'a': 0.001, 'e': 0.9764546509396596}",20,15,-0.23523594904625744,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.001, 'e': 0.9758729785823308}",25,0,-191.60463337550303,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
93,False,"{'a': 0.001, 'e': 0.9752773002196243}",20,0,-92.44268130640813,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
94,False,"{'a': 0.001, 'e': 0.9746672967731284}",25,0,-67.12815257283937,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
95,False,"{'a': 0.001, 'e': 0.9740426428022031}",30,0,-182.56237628527708,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
96,False,"{'a': 0.001, 'e': 0.973403006423134}",20,0,-62.88748857010489,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.001, 'e': 0.972748049229784}",20,0,-115.14109111152041,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
98,False,"{'a': 0.001, 'e': 0.9720774262159269}",35,0,-190.48788486966373,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
99,False,"{'a': 0.001, 'e': 0.9713907856994539}",25,0,-143.536997881563,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
100,False,"{'a': 0.001, 'e': 0.9706877692486436}",20,0,-61.20918416140264,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.001, 'e': 0.9699680116107118}",25,0,-173.89640912806055,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
